lng,lat,speed,direction
93.3390324,11.2725763,23.336,66.3
93.3391558,11.3268167,25.962,86.5
93.3392797,11.3810571,16.624,101.0
93.3394041,11.4352973,17.38,129.4
93.3395289,11.4895373,24.64,142.2
93.3396541,11.5437771,32.93,151.9
93.3397797,11.5980167,37.652,155.3
93.3399058,11.652256,43.973,153.3
93.3400324,11.7064951,49.463,146.8
93.3405429,11.9234497,117.707,128.1
93.3406717,11.9776878,72.501,128.1
93.3408009,12.0319257,35.818,125.1
93.3920353,10.4588213,30.832,221.0
93.392162,10.5130646,25.261,222.8
93.3922892,10.5673076,24.984,216.0
93.3924168,10.6215505,26.092,205.5
93.3925449,10.6757932,26.05,204.1
93.3926735,10.7300356,17.242,203.9
93.3928025,10.7842779,15.055,199.4
93.3941187,11.3266902,16.976,91.3
93.3942529,11.3809304,18.759,136.7
93.3943876,11.4351703,19.319,146.7
93.3945228,11.4894101,31.386,149.4
93.3946585,11.5436497,37.469,155.8
93.3947946,11.597889,36.901,155.0
93.3949312,11.6521281,44.337,152.7
93.3950683,11.706367,56.282,146.5
93.4469743,10.5129315,31.646,217.6
93.4471112,10.5671744,30.41,215.7
93.4472486,10.621417,30.343,211.7
93.4473866,10.6756594,25.816,206.8
93.447525,10.7299016,14.903,219.8
93.447664,10.7841437,15.204,205.2
93.4495166,11.4892727,38.402,156.2
93.4496627,11.543512,44.827,155.9
93.4498093,11.5977511,52.152,149.0
93.4499564,11.6519899,56.866,148.4
93.450104,11.7062286,56.172,145.5
93.5020805,10.6212736,31.593,218.7
93.5022283,10.6755158,26.417,215.2
93.5023766,10.7297577,19.937,225.2
93.5025255,10.7839995,11.931,220.2
93.504667,11.5433642,58.467,154.1
93.5048241,11.597603,53.294,149.4
93.6676497,10.9462289,20.349,174.8
93.6678309,11.000469,21.935,181.4
93.6680128,11.0547089,17.997,169.5
93.6681954,11.1089487,20.411,175.8
93.7225409,10.9460439,21.396,180.3
93.7227323,11.0002837,21.396,180.3
93.7229243,11.0545233,17.997,169.5
93.723117,11.1087627,20.411,175.8
93.7772314,10.8916093,32.652,188.7
93.7774321,10.945849,32.652,188.7
93.7776335,11.0000884,32.652,188.7
93.7786513,11.2712828,18.997,151.7
93.778857,11.325521,16.754,61.9
93.7790635,11.3797591,16.754,61.9
93.8333881,11.2168375,18.997,151.7
93.8336034,11.2710756,18.997,151.7
93.8338194,11.3253135,18.997,151.7
93.8340362,11.3795512,16.754,61.9
93.8342538,11.4337887,15.623,139.6
93.8883299,11.2166206,18.997,151.7
93.8885554,11.2708584,18.997,151.7
93.8887817,11.3250958,18.997,151.7
93.8892368,11.4335703,15.623,139.6
93.9432715,11.2163937,18.997,151.7
93.9435073,11.270631,18.997,151.7
93.9437439,11.324868,18.997,151.7
93.9984591,11.2703935,18.997,151.7
93.998706,11.3246302,18.997,151.7
92.679599,10.2426718,31.197,151.4
92.679599,10.2969173,26.7,163.8
92.679599,10.3511626,25.18,161.1
92.679599,10.4054078,24.601,189.4
92.679599,10.4596526,21.223,170.7
92.679599,10.5138974,22.215,106.6
92.679599,10.5681419,26.284,132.3
92.679599,10.6223863,27.721,126.8
92.679599,10.6766305,30.775,114.2
92.679599,10.7308744,35.538,106.5
92.679599,10.7851182,18.14,68.0
92.679599,10.8393619,35.278,66.9
